status,total_count,num_per_page,ticker_id,url
,45941,80,000700,
,26623,80,000702,
,51909,80,000703,
,35066,80,000705,
,66861,80,000707,
,29399,80,000708,
,252606,80,000709,
,24121,80,000710,
,28373,80,000711,
,42210,80,000712,
,38905,80,000713,
,32262,80,000715,
,32679,80,000716,
,84577,80,000717,
,42387,80,000718,
,30391,80,000719,
,62221,80,000720,
,47927,80,000721,
,61869,80,000722,
,30591,80,000723,
,368301,80,000725,
,61286,80,000726,
,61329,80,000727,
,97101,80,000728,
,39157,80,000729,
,25,80,000730,
,63816,80,000731,
,40249,80,000732,
,33818,80,000733,
,194352,80,000735,
,25653,80,000736,
,58050,80,000737,
,59785,80,000738,
,59385,80,000739,
,43969,80,000748,
,95346,80,000750,
,129527,80,000751,
,96719,80,000752,
,48197,80,000753,
,60843,80,000755,
,23581,80,000756,
,25252,80,000757,
,121232,80,000758,
,37174,80,000759,
,54749,80,000760,
,30778,80,000761,
,28,80,000765,
,82311,80,000762,
,32427,80,000766,
,167,80,000763,
,57695,80,000767,
,184988,80,000768,
,185,80,000769,
,93399,80,000776,
,58771,80,000777,
,99814,80,000778,
,32449,80,000779,
,47718,80,000780,
,52893,80,000782,
,112353,80,000783,
,22309,80,000785,
,35287,80,000786,
,59146,80,000787,
,60722,80,000788,
,51858,80,000789,
,103198,80,000790,
,30591,80,000791,
,88553,80,000792,
,69466,80,000793,
,60392,80,000795,
,42660,80,000796,
,43134,80,000797,
,34389,80,000798,
,107811,80,000799,
,26101,80,000801,
,98075,80,000800,
,49429,80,000802,
,25092,80,000803,
,2464,80,000805,
,79749,80,000806,
,54545,80,000807,
,85135,80,000809,
,24859,80,000810,
,44716,80,000811,
,44776,80,000812,
,52405,80,000813,
,55813,80,000815,
,84752,80,000816,
,189,80,000817,
,55739,80,000818,
,167963,80,000819,
,78337,80,000820,
,53146,80,000821,
,54976,80,000822,
,65103,80,000823,
,86576,80,000825,
,39675,80,000826,
,328,80,000827,
,22701,80,000828,
,112991,80,000829,
,63593,80,000830,
,1048,80,000832,
,110308,80,000831,
,69854,80,000835,
,46858,80,000833,
,43880,80,000836,
,43192,80,000837,
,55997,80,000838,
,121795,80,000839,
,25430,80,000848,
,62589,80,000850,
,110580,80,000851,
,54890,80,000852,
,39352,80,000856,
,183675,80,000858,
,47010,80,000859,
,33990,80,000860,
,38813,80,000861,
,43463,80,000862,
,31886,80,000863,
,334,80,000866,
,66581,80,000868,
,39721,80,000869,
,120644,80,000875,
,63515,80,000876,
,66969,80,000877,
,94524,80,000878,
,25123,80,000880,
,78316,80,000881,
,55306,80,000882,
,85443,80,000883,
,25368,80,000885,
,82696,80,000886,
,22987,80,000887,
,18587,80,000888,
,31558,80,000889,
,31450,80,000890,
,43689,80,000892,
,32826,80,000893,
,92433,80,000895,
,129909,80,000897,
,100586,80,000898,
,43982,80,000899,
,93325,80,000900,
,60003,80,000901,
,30789,80,000902,
,48577,80,000903,
,64962,80,000905,
,23766,80,000906,
,40848,80,000908,
,22097,80,000909,
,22005,80,000910,
,35805,80,000911,
,40850,80,000912,
,50781,80,000913,
,20884,80,000915,
,37549,80,000916,
,92582,80,000917,
,30057,80,000918,
,39979,80,000920,
,22338,80,000919,
,68022,80,000921,
,44506,80,000922,
,37596,80,000923,
,24936,80,000925,
,88575,80,000926,
,43964,80,000927,
,38240,80,000930,
,27084,80,000929,
,67444,80,000928,
,35015,80,000931,
,29848,80,000932,
,25824,80,000933,
,24278,80,000935,
,19622,80,000936,
,32862,80,000938,
,24595,80,000939,
,22999,80,000948,
,37602,80,000949,
,25796,80,000937,
,7246,80,000950,
,18750,80,000951,
,8815,80,000953,
,12681,80,000955,
,13208,80,000952,
,68,80,000956,
